,tweet,Label
0,democrats support musli child traffic fund election fraud wwg1wga qanon,TIN
1,far right,TIN
2,fuck ti ame,TIN
3,feel humiliate hi later,TIN
4,nigga,TIN
5,liar gop,TIN
6,police bag ame proof voter incompetent vote voter fraud vote woman,TIN
7,tell bad right,TIN
8,christineblaseyford kavanaugh acc try ti ame,TIN
9,fucking asshole blame death today is die end stop blame,TIN
10,ugly,TIN
11,bitch,TIN
12,human gun probably illegal need gun control worry cri ame black gun worse,TIN
13,,TIN
14,voice money card bullshit pay,TIN
15,kid beat leave child hate violence school democrats walkaway moms mother christian jews family news medium maga,TIN
16,get bitche,TIN
17,note protest socialism aka win,TIN
18,omg real happen year ago fucking money,TIN
19,can debate get today matter they re people,TIN
20,commit go new level fuck kill,TIN
21,are get gun poster child gun control good crap,TIN
22,democratic america expose attempt bring america maga,TIN
23,level,TIN
24,account quasi completely anon twitter ban quasi anon ill anon account tweet twitter bullshit ban ill,TIN
25,pathetic prove guilty mean democrats look party need rapist hang hell,TIN
26,10 guy give,TIN
27,fortnitebattleroyale xboxshare ban cheat scum literally invisible,TIN
28,say do create gay attack,TIN
29,watch listen,TIN
30,sit ass ti ame black people die hard white think cause aka wake civil hero near,TIN
31,jeff session listen aclu black life matter shooting,TIN
32,live door stay damn,TIN
33,lot sex kid can,TIN
34,govt life hell whistleblower threaten think govt whistleblower,TIN
35,fortnitebattleroyale xboxshare ban cheat scum literally invisible,TIN
36,maga qanon wwg1wga walkaway ellison acc say party,TIN
37,,TIN
38,8 year sure need bad new s maga vote color aka americans,TIN
39,blaseyford way woman need treat equal come ford man ask question dem woman equal receive special,TIN
40,ted feel public behavior control hi amself,TIN
41,were funny start political pathetic,TIN
42,need,TIN
43,think thing can happen probably realize child is treat woman man sure that will well,TIN
44,phone,TIN
45,metoo,TIN
46,gop act have realize hate stupid way they re far leave,TIN
47,kick,TIN
48,later,TIN
49,rating expect stand watch ti ame,TIN
50,,TIN
51,nbc dem nbc metoo okay democrats socialist leave walkaway,TIN
52,fraud group pay,TIN
53,love 2 w constantly group constantly attack right 2 choice,TIN
54,s easily open court trash communist shop,TIN
55,history lie public disgrace,TIN
56,2 housing trick,TIN
57,2 know ass,TIN
58,spain spain,TIN
59,liberalismisamentaldisorder danger country hateful care truth care power,TIN
60,ise attack idiot worse bad election idiot rid interest idiot,TIN
61,old,TIN
62,haiti justice need double rich mean murder votere maga,TIN
63,join fight american democrats take crap come promote america,TIN
64,state talk involvement take people hi amself,TIN
65,watch think person pathetic,TIN
66,b,TIN
67,love watch maria,TIN
68,look stop,TIN
69,work money win die death,TIN
70,sex traffic,TIN
71,theview poor worry democratic party leader,TIN
72,ise go ass,TIN
73,evidence justice talk cri ame,TIN
74,disarmthem go type good way open carry s weapon gun try shoot,TIN
75,ti ame way hard believe,TIN
76,gun control take damn door step wake well,TIN
77,bitch fucking come,TIN
78,reach talk hi help 2018 auspol,TIN
79,fucking,TIN
80,democrat control gun control law blame gop is rich democrats try black walkaway,TIN
81,get love people make law know subject they re make law gun control law people try state,TIN
82,corrupt,TIN
83,attempt house control vote david house 21 follow,TIN
84,take nigga,TIN
85,fund,TIN
86,govt run austerity rich double url,TIN
87,continue expose paper fight truth fact,TIN
88,,TIN
89,1,TIN
90,okay goal league team have ti ame okay guy day,TIN
91,kalyani stupid teenager totally despise atrocity aunty anupriya blame moms death stop listen anupriya story make vile accusation tujhsehairaabta zeetvserials,TIN
92,kalyani stupid teenager totally despise atrocity aunty anupriya blame moms death stop listen anupriya story make vile accusation tujhsehairaabta zeetvserials,TIN
93,christian america support open support school shooting make america great,TIN
94,person behavior scotus,TIN
95,democrats threaten talk military,TIN
96,tell hang think will fun dick tongue people easily suck kid ai tongue dick look weird choice weird,TIN
97,sorry love asshole know maga,TIN
98,,TIN
99,jh omg wj guy look good are have sit jh do wj let live life let news jh,TIN
100,white mask fine try black mask qanon podcast radio,TIN
101,say cool feel type way speak fuck,TIN
102,traitor bad url,TIN
103,use political tactic well hard evidence word is evidence call note year ago prove wrong,TIN
104,right ruin constitution ruin constitution get upset come white live,TIN
105,kavanaugh look guilty people,TIN
106,break fly protest kill url,TIN
107,can believe old get woman charge court old nasty year ago ti ames good,TIN
108,4 2 do think hard come they re power corrupt they re literally love,TIN
109,leader type ready ready follow step goal stay damn,TIN
110,democrats stand walkaway,TIN
111,demonstrate lose election texas url maga,TIN
112,bitch think niggas money tf,TIN
113,bullshit,TIN
114,fucking year,TIN
115,dem believe woman accuse cri ames accuse ignore accusation,TIN
116,christineblaseyford harass democratic party fund soros,TIN
117,call bullshit url,TIN
118,bb20 question people win way say word make fun eat harass win use excuse bb20,TIN
119,2018 bitch watch,TIN
120,let right god mother fuck human,TIN
121,wwg1wga maga americafirst walkaway truth,TIN
122,,TIN
123,hypocrites democratshateamerica liberalismisamentaldisorder liberals touch turn absolute,TIN
124,say medium money soros create civil,TIN
125,texas ted campaign people look,TIN
126,1 tf,TIN
127,behavior funny fuck die,TIN
128,truth completely obama lie,TIN
129,state comment bring fact truth lie bullshit single evidence support single thing say lie get,TIN
130,damn feel lol,TIN
131,bring president obama can president obama humiliate hi white house hate president obama,TIN
132,wonder rating suck maga,TIN
133,b fucking wait,TIN
134,vile excuse come death stop talk start talk involvement,TIN
135,ai ask,TIN
136,gun fascist leave think need check,TIN
137,feinstein can truthful liar,TIN
138,lifeisbutepu sex anyti ame single,TIN
139,incompetent leader history url,TIN
140,democrats,TIN
141,work join new group team hate non musli,TIN
142,kick ass,TIN
143,ago disgrace feinstein blame gop kavanaugh acc stay can truthful,TIN
144,meme,TIN
145,fuck,TIN
146,ass woman probably 10 year old talk nice work get,TIN
147,care,TIN
148,idiot lol liberals maga,TIN
149,hard feel,TIN
150,know charge come house kill hang,TIN
151,meme talk dumb baby break love rich,TIN
