,tweet,Label
0,democrats support musli isis child traffic fund abortion election fraud treason lockthemallup wwg1wga qanon,OFF
1,constitutionday hate want change,NOT
2,foxnews nra maga potus trump veteran iswamp dnc,NOT
3,watch get news make smile,NOT
4,unity demo far right london,NOT
5,fuck ti ame,OFF
6,rap form art freely green light excuse behavior act ani amal street violence way live level queen,NOT
7,feel humiliate hi later,NOT
8,5 tip audience connection facebook,NOT
9,biggbosstamil win task go final list,NOT
10,conservatives party low tory tory,NOT
11,single fully aware happen chill come spine female voice call hi corner ti ame attempt response,NOT
12,place fed,NOT
13,greatawakening qanon patriotsunite wwg1wga areyouawake awake clearly check video,NOT
14,nigga da hit,OFF
15,stopkavanaugh liar rest gop,OFF
16,week september day thing go ok hattie thank hattie pretend look face,NOT
17,biggbosstelugu2 let include business head star know know team host hurting audience biggbosstelugu2,NOT
18,kill apartment go wrong shot man apartment 2017 shoot suspect police officer add sorry family,OFF
19,smack,NOT
20,break week long county jury convict davis murder connection davis take place year ago,NOT
21,kavanaugh wild clai year ago rape sexual event base org support blm etc,NOT
22,character brand thing love roll package feed directly baby,NOT
23,fill appreciation watch want appreciation start worth appreciation,NOT
24,beto betoorourke laugh upset hi,NOT
25,hiac damn hell match hope okay,OFF
26,school shooting are controversial want,NOT
27,police bag lady pick everyti ame proof voter incompetent vote vast voter fraud conspiracy vote woman,OFF
28,coffee spartacus moment see film,NOT
29,tell bad shit right,OFF
30,christineblaseyford kavanaugh acc try ti ame,NOT
31,fellow democrats want good america politics democratic ny,NOT
32,quote listen give voice shout true little silent start feel way person try,NOT
33,look hockey player game sunday 2 dress contact interested,OFF
34,brexit put send chill spine uk,NOT
35,follow twitter twitch blackout help support twitter twitch remember,NOT
36,find people work company industry interest know lot people send info message right,NOT
37,liberallogic way,NOT
38,holy shit fucking asshole blame death sad today is fault die end stop want blame,OFF
39,ugly personality,OFF
40,bitch,OFF
41,classmate say leave acc absolutely kavanaugh democrats woman law maga gop cnn msnbc nbc moms blackwomen bet,NOT
42,kid slaughter school,NOT
43,learn human probably illegal need worry actual cri ame pic black worse,OFF
44,happy proud work train member wonderful incredible love,NOT
45,chequer violation democracy standup4brexit people respect,NOT
46,session tell chicago want shootings death listen aclu blacklivesmatter,NOT
47,,NOT
48,voice head money credit card bullshit buy pay,OFF
49,levi strauss afraid unpopular stand support great good shut manufacturing america was news story happen maybe they re right was unpopular,OFF
50,clinton know good,NOT
51,kid beat trump boy leave teach child hate violence school teacher democrats walkaway moms mother christian jews evangelical family blackwomen news medium disabled maga,OFF
52,0 9,NOT
53,great person care,NOT
54,doj employee r look license home legal detail dem project worry govt history political list,NOT
55,late floor tell truth hear,NOT
56,greatawakening qanon patriotsunite wwg1wga areyouawake awake clearly check video,NOT
57,late 1990s attack right company give 100000 group follow 2000 100000,NOT
58,fuck,OFF
59,get bitche,OFF
60,get pretty deep debate friend tell latinos trump black trump pay supporter say mean pay domestic terrorist say anti fascist say fascist,OFF
61,note protest socialism aka communism win inherently,NOT
62,gmm roastmycat hi fiona 10 week old fall asleep weird place,NOT
63,omg real happen 40 year ago inti fucking change system money,OFF
64,can debate get today matter they re people,NOT
65,halloween sign wood wall,NOT
66,matter go today past day god go change life good trust believe able read,NOT
67,point decide group end talent decide hot trash mike have able defense line head,NOT
68,lack,NOT
69,maga expect censorship,NOT
70,apparently commit go new level key fuck kill,OFF
71,need check find perfect work record child care check online kind license professional free,NOT
72,are shootings get poster child good crap,OFF
73,violation international human right law pass strong guncontrol,NOT
74,obviously dnc conspiracy deep state zionist plot big comedy hell conspiracy,NOT
75,god keep boat know end,NOT
76,guy,NOT
77,democratic america expose government attempt bring america trump maga,OFF
78,cnn continue fakenews where s honest analysis right tcot cnn nra cnnisfakenews conservatives fakenewsmedia fakenews,NOT
79,brexit barometer labour fail fail nearly uk believe government brexit,NOT
80,level influence scary,NOT
81,account quasi anonymous completely anon twitter ban quasi anon ill anon account tweet insane shit twitter bullshit ban ill,NOT
82,maga alert joe trump supporter dregs society video,OFF
83,1 stock holder stock fund track,NOT
84,city chicago democrat run strictest nation point,NOT
85,pathetic prove guilty mean democrats look party need rapist hang straight hell,OFF
86,trump thing thank twitter,NOT
87,10 million guy give shit name trump,OFF
88,fortnitebattleroyale xboxshare ban cheat scum literally invisible,NOT
89,read man see new genius,NOT
90,law government use people able,NOT
91,good thing responsible pretty sure group member would run fast help let senior thank salute,NOT
92,right gofundme set person new mode investigate ise gofundme new fund mccabe strzok,NOT
93,christian twitter facebook silence christians censor take help grow live faith help grow movement,NOT
94,political,NOT
95,fall color look toronto,NOT
96,republicans wallin budgetyou go loose prestrump follower r support hi,NOT
97,gmm roastmycat hi fiona 10 week old fall asleep weird place,NOT
98,say do create character gay attack,OFF
99,serenawilliams painful watch listen,NOT
100,sit ass ti ame black people die hard white think cause aka wake civil hero near,OFF
101,clai mastermind believe hi think mastermind evidence suggest there s evidence suggest,NOT
102,beautiful,NOT
103,maga qanon good president,NOT
104,great player ill sport league support bs narrative,NOT
105,leave democrats resist resistance bluewave bluewave2018 walkaway maga,NOT
106,sale teach create exclusive online traffic economy short lead sale,OFF
107,jeff session listen aclu black life matter want chicago shooting,NOT
108,live tree door stay damn light,OFF
109,sweet congratulation house break well,NOT
110,bet lot safe sex would kid can mom,OFF
111,speak,NOT
112,silent ise week know go fbi doj strzok qanon maga,NOT
113,omg amazing great miss,NOT
114,county nc sex age 13 week old,NOT
115,govt life hell whistleblower threaten think govt protect whistleblower,NOT
116,apple live,NOT
